name,genre,platform,user_score,critic_score,global_sales
FIFA Soccer 2005,Sports,PS2,7.6,81.0,3.7
Tony Hawk's Pro Skater 4,Sports,PS2,8.5,94.0,3.67
MySims,Simulation,DS,7.3,67.0,3.66
Midnight Club 3: DUB Edition,Racing,PSP,8.4,74.0,3.65
SOCOM: U.S. Navy SEALs,Shooter,PS2,7.9,82.0,3.65
Jak and Daxter: The Precursor Legacy,Platform,PS2,8.7,90.0,3.64
Pro Evolution Soccer 2008,Sports,PS2,7.9,82.0,3.63
Resident Evil 4,Action,PS2,8.9,96.0,3.62
Guitar Hero: World Tour,Misc,Wii,7.6,86.0,3.62
FIFA Soccer 10,Sports,PS3,7.6,91.0,3.62
Star Wars: Battlefront,Shooter,PS2,8.7,82.0,3.61
The Simpsons: Road Rage,Racing,PS2,7.7,64.0,3.61
Luigi's Mansion,Action,GC,8.5,78.0,3.6
Battlefield 4,Shooter,PS4,6.9,85.0,3.59
Star Wars: Battlefront II,Shooter,PS2,9.0,84.0,3.59
Cooking Mama 2: Dinner With Friends,Simulation,DS,8.0,70.0,3.58
Grand Theft Auto: Liberty City Stories,Action,PS2,7.8,78.0,3.54
The Getaway,Action,PS2,6.8,72.0,3.54
James Bond 007: Agent Under Fire,Shooter,PS2,7.9,72.0,3.53
FIFA Soccer 11,Sports,X360,7.5,88.0,3.52
Left 4 Dead,Shooter,X360,7.9,89.0,3.51
Assassin's Creed: Unity,Action,XOne,4.1,72.0,3.5
Resident Evil 5,Action,X360,7.5,83.0,3.5
Assassin's Creed: Brotherhood,Action,X360,8.3,89.0,3.49
FIFA Soccer 2004,Sports,PS2,6.4,84.0,3.49
Battlefield 4,Shooter,PS3,5.8,80.0,3.49
Batman: Arkham Asylum,Action,X360,8.7,92.0,3.48
Battlefield 4,Shooter,X360,5.6,79.0,3.48
Battlefield: Bad Company 2,Shooter,X360,8.6,88.0,3.47
Guitar Hero: On Tour,Misc,DS,8.8,71.0,3.46
Clubhouse Games,Misc,DS,8.4,83.0,3.45
Borderlands,Shooter,X360,8.2,84.0,3.44
Tekken 4,Fighting,PS2,8.3,79.0,3.44
Grand Theft Auto 2,Action,PS,8.0,70.0,3.42
Metal Gear Solid V: The Phantom Pain,Action,PS4,8.2,93.0,3.41
Spider-Man 2,Action,PS2,8.9,80.0,3.41
FIFA Soccer 2003,Sports,PS2,6.7,88.0,3.4
LittleBigPlanet 2,Platform,PS3,8.4,91.0,3.39
Crash Bash,Misc,PS,8.2,68.0,3.39
Assassin's Creed Syndicate,Action,PS4,6.8,76.0,3.39
