name,genre,platform,user_score,critic_score,global_sales
Looney Tunes: Acme Arsenal,Action,PS2,3.9,38.0,0.38
Marvel: Ultimate Alliance,Role-Playing,PS3,7.6,78.0,0.38
Shin Megami Tensei: Devil Survivor Overclocked,Role-Playing,3DS,8.2,78.0,0.38
NFL GameDay 2002,Sports,PS2,4.6,51.0,0.38
Naruto: Clash of Ninja Revolution 2,Fighting,Wii,8.4,72.0,0.38
Turok: Evolution,Shooter,GC,7.0,70.0,0.38
NCAA Football 08,Sports,PS3,7.9,77.0,0.38
Sega Superstars Tennis,Sports,PS2,8.3,70.0,0.38
Headhunter,Action,PS2,7.8,74.0,0.38
Viking: Battle for Asgard,Action,PS3,7.4,65.0,0.38
Rock Band 4,Misc,PS4,6.3,78.0,0.38
Marvel Nemesis: Rise of the Imperfects,Fighting,GC,5.7,54.0,0.38
Brunswick Pro Bowling,Sports,Wii,5.4,52.0,0.38
Bratz: Rock Angelz,Misc,PS2,5.1,60.0,0.38
FlatOut,Racing,PS2,8.5,70.0,0.38
Battlefield 1,Shooter,PC,7.6,88.0,0.38
SSX 3,Sports,GC,8.7,92.0,0.38
Metal Gear Solid: Snake Eater 3D,Action,3DS,7.8,78.0,0.38
LocoRoco,Platform,PSP,8.7,83.0,0.38
Risk: Global Domination,Strategy,PS2,8.8,60.0,0.38
Deus Ex: Mankind Divided,Role-Playing,PS4,7.6,84.0,0.38
Grandia Xtreme,Role-Playing,PS2,6.5,68.0,0.38
The Incredible Hulk,Action,PS2,6.0,50.0,0.38
Mercenaries 2: World in Flames,Shooter,PS2,7.4,49.0,0.38
Saints Row: The Third,Action,PC,8.1,84.0,0.38
Ghost Trick: Phantom Detective,Adventure,DS,9.0,83.0,0.38
Hunter: The Reckoning,Action,XB,8.9,79.0,0.38
MX vs. ATV Untamed,Racing,PS2,8.2,53.0,0.38
Dawn of Discovery,Simulation,PC,8.8,82.0,0.38
Get Fit with Mel B,Sports,PS3,5.8,73.0,0.38
Pokemon Channel,Adventure,GC,6.0,55.0,0.38
Virtua Tennis 2009,Sports,PS3,6.3,70.0,0.38
The Dog Island,Adventure,Wii,8.1,70.0,0.38
Madagascar: Escape 2 Africa,Action,PS2,5.8,56.0,0.38
Need for Speed: Nitro,Racing,DS,6.3,70.0,0.38
Naruto Shippuden: Ultimate Ninja Heroes 3,Fighting,PSP,6.6,61.0,0.38
Age of Empires III,Strategy,PC,7.7,81.0,0.38
EyeToy Play 2,Misc,PS2,7.0,78.0,0.38
Dance Dance Revolution Ultramix 3,Simulation,XB,8.6,75.0,0.38
Pro Evolution Soccer 2011 3D,Sports,3DS,6.7,73.0,0.38
Just Dance 2014,Misc,PS3,7.1,77.0,0.38
Wii Sports Club,Sports,WiiU,7.0,68.0,0.38
Harry Potter and the Prisoner of Azkaban,Action,GC,7.3,67.0,0.38
Skylanders Giants,Action,WiiU,6.9,80.0,0.37
GRID 2,Racing,PS3,6.6,82.0,0.37
Super Dragon Ball Z,Fighting,PS2,5.8,72.0,0.37
The Golden Compass,Action,PSP,4.1,28.0,0.37
Disney Sing It,Misc,PS3,3.5,54.0,0.37
Ultimate Spider-Man,Action,GC,7.2,76.0,0.37
Major League Baseball 2K6,Sports,X360,3.9,66.0,0.37
NBA 2K7,Sports,PS3,7.4,80.0,0.37
Just Dance 4,Misc,WiiU,7.8,66.0,0.37
"Monsters, Inc. Scream Arena",Platform,GC,4.7,39.0,0.37
Need for Speed: Hot Pursuit,Racing,PC,6.7,86.0,0.37
Rampage: Total Destruction,Action,PS2,7.0,51.0,0.37
High Heat Major League Baseball 2003,Sports,PS2,7.9,84.0,0.37
Trivial Pursuit,Misc,X360,6.4,66.0,0.37
Kingdom Under Fire: Circle of Doom,Role-Playing,X360,5.9,55.0,0.37
Spider-Man: Friend or Foe,Action,PS2,8.3,62.0,0.37
EA Sports MMA,Fighting,PS3,6.9,77.0,0.37
Guitar Hero On Tour: Modern Hits,Misc,DS,6.3,70.0,0.37
Quake 4,Shooter,X360,6.7,75.0,0.37
Tiger Woods PGA Tour 14,Sports,PS3,3.8,74.0,0.37
Skate,Sports,PS3,8.2,85.0,0.37
Rage,Shooter,PC,5.2,79.0,0.37
Custom Robo,Role-Playing,GC,8.1,65.0,0.37
Prince of Persia: The Forgotten Sands,Action,PSP,7.4,65.0,0.37
BioShock The Collection,Shooter,PS4,8.5,84.0,0.37
Theatrhythm Final Fantasy: Curtain Call,Misc,3DS,8.2,83.0,0.37
DiRT 2,Racing,Wii,5.5,51.0,0.37
Pac-Man World 2,Action,GC,8.3,74.0,0.37
Tomb Raider: Legend,Action,X360,7.3,80.0,0.37
Rocket League,Sports,PS4,8.7,85.0,0.37
The BIGS,Sports,Wii,7.1,66.0,0.37
The Legend of Spyro: A New Beginning,Platform,DS,6.8,68.0,0.37
Juiced 2: Hot Import Nights,Racing,PSP,7.8,73.0,0.37
Dungeon Siege III,Role-Playing,X360,5.9,72.0,0.37
DiRT Rally,Racing,PS4,8.1,85.0,0.37
NFL Street 2 Unleashed,Sports,PSP,7.4,73.0,0.37
FIFA Street 2,Sports,PS2,7.7,59.0,0.37
Virtua Tennis 2009,Sports,Wii,7.7,73.0,0.37
Overlord: Dark Legend,Action,Wii,7.9,68.0,0.37
The Legend of Spyro: The Eternal Night,Platform,DS,2.7,56.0,0.37
Harry Potter and the Order of the Phoenix,Action,PSP,7.6,52.0,0.37
Wanted: Weapons of Fate,Shooter,X360,7.5,62.0,0.37
Xenosaga Episode III: Also sprach Zarathustra,Role-Playing,PS2,9.0,81.0,0.37
Rune Factory: Frontier,Role-Playing,Wii,8.5,79.0,0.37
Mini Ninjas,Action,Wii,8.3,79.0,0.37
Naruto Shippuden: Ninja Destiny 2,Fighting,DS,5.7,55.0,0.37
Scribblenauts: Unlimited,Action,WiiU,7.4,73.0,0.37
Marvel: Ultimate Alliance,Role-Playing,PSP,7.5,81.0,0.37
The Sims 2: Castaway,Simulation,PS2,8.0,71.0,0.37
NCAA Football 07,Sports,PSP,7.9,75.0,0.37
NBA Live 2003,Sports,XB,8.8,82.0,0.36
Fragile Dreams: Farewell Ruins of the Moon,Role-Playing,Wii,8.3,67.0,0.36
GoldenEye: Rogue Agent,Shooter,GC,6.7,60.0,0.36
Need for Speed: The Run,Action,PC,5.8,69.0,0.36
Dragon Ball Z: Infinite World,Fighting,PS2,7.9,48.0,0.36
Elite Beat Agents,Misc,DS,8.6,87.0,0.36
ESPN X Games Skateboarding,Sports,PS2,7.8,58.0,0.36
Sid Meier's Civilization: Beyond Earth,Strategy,PC,5.5,81.0,0.36
Castlevania: Order of Ecclesia,Platform,DS,8.7,85.0,0.36
Left 4 Dead 2,Shooter,PC,8.5,89.0,0.36
Green Day: Rock Band,Misc,Wii,8.8,76.0,0.36
Star Fox: Zero,Shooter,WiiU,7.4,69.0,0.36
SAW,Action,PS3,6.4,59.0,0.36
Tom Clancy's HAWX 2,Action,X360,6.3,68.0,0.36
High Heat Major League Baseball 2004,Sports,PS2,8.1,83.0,0.36
Robots,Action,PS2,6.0,53.0,0.36
NARC,Shooter,PS2,7.0,50.0,0.36
Dragon Ball Z: Attack of the Saiyans,Role-Playing,DS,7.9,73.0,0.36
Bionic Commando,Platform,PS3,7.4,71.0,0.36
Monster Rancher 3,Simulation,PS2,8.5,77.0,0.36
The Incredibles: Rise of the Underminer,Action,PS2,7.1,60.0,0.36
Sword Art Online: Lost Song,Role-Playing,PSV,7.1,70.0,0.36
Hamtaro: Ham-Ham Heartbreak,Action,GBA,9.3,72.0,0.36
Okage: Shadow King,Role-Playing,PS2,8.5,70.0,0.36
BlazBlue: Calamity Trigger,Fighting,X360,8.5,86.0,0.36
NBA 2K6,Action,XB,8.7,84.0,0.36
Marvel Super Hero Squad,Fighting,Wii,6.2,49.0,0.36
The Chronicles of Narnia: Prince Caspian,Action,Wii,7.1,63.0,0.36
World's Scariest Police Chases,Racing,PS,6.3,54.0,0.36
MechAssault 2: Lone Wolf,Simulation,XB,7.5,81.0,0.36
Valkyrie Profile: Lenneth,Role-Playing,PSP,8.4,80.0,0.36
Just Dance 2016,Misc,PS4,6.8,73.0,0.36
ESPN NFL Football,Sports,XB,8.9,91.0,0.36
Rapala Pro Fishing,Sports,PS2,8.7,59.0,0.36
Spider-Man: Shattered Dimensions,Action,X360,7.6,76.0,0.36
TMNT,Action,Wii,5.9,60.0,0.36
Fossil Fighters: Frontier,Role-Playing,3DS,4.8,57.0,0.36
Arc the Lad: Twilight of the Spirits,Role-Playing,PS2,8.2,72.0,0.36
Watch Dogs 2,Action,XOne,7.7,83.0,0.36
Tiger Woods PGA Tour 09,Sports,PSP,5.5,53.0,0.36
Harry Potter and the Chamber of Secrets,Action,XB,7.2,77.0,0.36
Arctic Thunder,Racing,PS2,5.3,45.0,0.36
ESPN: Sports Connection,Sports,WiiU,2.7,31.0,0.36
Shrek,Platform,XB,5.4,49.0,0.36
Dragon's Crown,Role-Playing,PSV,8.4,78.0,0.35
Wipeout 2048,Racing,PSV,8.2,79.0,0.35
Trauma Center: Under the Knife,Simulation,DS,8.7,81.0,0.35
Earth Defense Force 2025,Shooter,PS3,7.5,69.0,0.35
Middle-Earth: Shadow of Mordor,Action,PC,8.0,84.0,0.35
Suikoden V,Role-Playing,PS2,7.6,76.0,0.35
Tiger Woods PGA Tour 14,Sports,X360,6.2,77.0,0.35
LocoRoco 2,Platform,PSP,8.4,85.0,0.35
Football Manager Handheld 2010,Sports,PSP,6.9,69.0,0.35
Batman: Rise of Sin Tzu,Action,PS2,8.3,63.0,0.35
Worms: Open Warfare 2,Strategy,DS,9.1,81.0,0.35
Dark Void,Action,PS3,6.0,59.0,0.35
Guitar Hero: Smash Hits,Misc,PS3,7.2,73.0,0.35
NHL 2K10,Sports,Wii,6.8,79.0,0.35
Bloody Roar 3,Fighting,PS2,8.6,71.0,0.35
WWE Crush Hour,Racing,PS2,5.3,56.0,0.35
Persona 2: Eternal Punishment,Role-Playing,PS,8.4,83.0,0.35
Homefront: The Revolution,Shooter,PS4,3.8,48.0,0.35
Assassin's Creed III,Action,WiiU,7.1,85.0,0.35
One Piece: Burning Blood,Fighting,PS4,7.8,66.0,0.35
Star Wars: Flight of the Falcon,Action,GBA,5.8,39.0,0.35
Teenage Mutant Ninja Turtles: Smash-Up,Fighting,Wii,8.2,67.0,0.35
Toukiden: The Age of Demons,Action,PSV,8.0,71.0,0.35
Metro: Last Light,Action,X360,8.4,80.0,0.35
Football Manager 2016,Simulation,PC,6.9,81.0,0.35
Resident Evil: Dead Aim,Action,PS2,6.6,65.0,0.35
Need for Speed Carbon,Racing,GC,7.8,75.0,0.35
EA Sports MMA,Fighting,X360,7.0,79.0,0.35
Defiance,Shooter,PS3,6.9,59.0,0.35
Terminator Salvation,Shooter,X360,5.0,48.0,0.35
Guilty Gear X2,Fighting,PS2,8.7,87.0,0.35
Chicken Shoot,Action,Wii,4.8,27.0,0.35
Tom Clancy's Rainbow Six: Lockdown,Shooter,PS2,6.9,70.0,0.35
MotoGP 08,Racing,X360,5.6,68.0,0.35
LEGO Marvel's Avengers,Action,XOne,5.1,71.0,0.35
Aggressive Inline,Sports,PS2,8.7,85.0,0.35
Mirror's Edge Catalyst,Platform,PS4,4.7,69.0,0.35
Sniper Elite 3,Shooter,XOne,6.6,63.0,0.35
NFL Street,Sports,GC,8.0,81.0,0.35
Karaoke Revolution,Misc,PS2,9.1,83.0,0.35
Metal Arms: Glitch in the System,Shooter,PS2,8.9,81.0,0.35
Tropico 4,Strategy,X360,7.5,77.0,0.35
EverGrace,Role-Playing,PS2,7.8,59.0,0.35
Enemy Territory: Quake Wars,Shooter,PS3,6.4,60.0,0.35
Lunar 2: Eternal Blue Complete,Role-Playing,PS,8.9,86.0,0.35
MLB 06: The Show,Sports,PSP,8.5,83.0,0.35
Over the Hedge,Platform,GC,9.3,61.0,0.35
Tomb Raider (2013),Action,PC,8.5,86.0,0.35
Charlie and the Chocolate Factory,Adventure,PS2,4.1,35.0,0.35
TrackMania Turbo,Action,PS4,7.9,81.0,0.35
Tiger Woods PGA Tour 12: The Masters,Sports,Wii,6.7,85.0,0.34
Def Jam Icon,Action,X360,6.3,69.0,0.34
Dynasty Warriors 5 Empires,Action,PS2,9.1,62.0,0.34
Call of Duty: Ghosts,Shooter,WiiU,3.4,69.0,0.34
Transformers: Dark of the Moon,Action,PS3,5.6,57.0,0.34
SoulCalibur,Fighting,DC,8.8,98.0,0.34
WipEout 3,Racing,PS,8.5,89.0,0.34
WWE '12,Fighting,Wii,5.2,74.0,0.34
WWE All Stars,Fighting,X360,7.2,75.0,0.34
Mini Ninjas,Action,PS3,8.7,73.0,0.34
Tekken Tag Tournament 2,Fighting,X360,7.5,83.0,0.34
Driver 2 Advance,Action,GBA,6.6,73.0,0.34
Monster Rancher 4,Simulation,PS2,9.1,77.0,0.34
Mini Ninjas,Action,DS,5.8,61.0,0.34
Tim Burton's The Nightmare Before Christmas: Oogie's Revenge,Adventure,PS2,8.6,65.0,0.34
Battalion Wars 2,Strategy,Wii,7.6,75.0,0.34
MotorStorm: Arctic Edge,Racing,PS2,8.3,72.0,0.34
Hitman: Contracts,Shooter,XB,8.8,78.0,0.34
Supreme Commander 2,Strategy,X360,7.1,75.0,0.34
Thunderstrike: Operation Phoenix,Simulation,PS2,8.1,65.0,0.34
Racquet Sports,Sports,PS3,4.3,45.0,0.34
Company of Heroes 2,Strategy,PC,2.1,80.0,0.34
Trauma Center: Second Opinion,Simulation,Wii,8.0,80.0,0.34
WWE Day of Reckoning 2,Fighting,GC,6.0,76.0,0.34
The Urbz: Sims in the City,Simulation,XB,6.5,70.0,0.34
Rayman Legends,Platform,XOne,7.9,91.0,0.34
SpongeBob SquarePants: The Yellow Avenger,Action,DS,7.6,67.0,0.34
Monopoly,Misc,PS3,6.7,54.0,0.34
SimCity Creator,Simulation,DS,7.3,69.0,0.34
Tenchu Z,Action,X360,7.3,56.0,0.34
Conan,Action,PS3,7.2,69.0,0.34
Leisure Suit Larry: Magna Cum Laude,Adventure,PS2,6.3,60.0,0.34
MVP 06 NCAA Baseball,Sports,XB,8.6,75.0,0.34
Naruto Shippuden: Ultimate Ninja Impact,Fighting,PSP,7.2,59.0,0.34
F.E.A.R.,Shooter,X360,7.3,85.0,0.34
Tom Clancy's Ghost Recon: Shadow Wars,Strategy,3DS,7.9,77.0,0.34
Herbie: Fully Loaded,Racing,GBA,6.8,47.0,0.34
Teenage Mutant Ninja Turtles,Action,GC,8.0,57.0,0.34
Kameo: Elements of Power,Action,X360,8.1,79.0,0.34
Dynasty Warriors 6 Empires,Action,PS3,7.0,62.0,0.34
The Shoot,Shooter,PS3,6.2,60.0,0.34
Puzzle Quest: Challenge of the Warlords,Puzzle,DS,8.7,82.0,0.34
Dynasty Warriors: Gundam 2,Action,PS2,6.5,52.0,0.34
Star Ocean: Second Evolution,Role-Playing,PSP,7.1,75.0,0.34
MXRider,Racing,PS2,6.8,69.0,0.34
Delta Force: Black Hawk Down,Shooter,XB,6.6,61.0,0.34
Pirates of the Caribbean: At World's End,Action,X360,5.3,58.0,0.34
The Eye of Judgment,Misc,PS3,8.2,75.0,0.33
Tom Clancy's Ghost Recon Advanced Warfighter,Shooter,XB,6.0,66.0,0.33
NHL 09,Sports,PS3,7.7,88.0,0.33
World of Final Fantasy,Role-Playing,PS4,8.3,77.0,0.33
Banjo-Kazooie: Grunty's Revenge,Platform,GBA,8.1,72.0,0.33
NHL 17,Sports,PS4,5.8,78.0,0.33
Mega Man ZX Advent,Platform,DS,8.6,78.0,0.33
NCAA Basketball 10,Sports,PS3,7.8,75.0,0.33
Jeanne d'Arc,Role-Playing,PSP,8.2,87.0,0.33
Harry Potter and the Deathly Hallows - Part 2,Action,X360,5.4,44.0,0.33
Avatar: The Last Airbender,Adventure,DS,6.4,64.0,0.33
Ape Escape Academy,Misc,PSP,5.8,51.0,0.33
WWE Wrestlemania XIX,Fighting,GC,8.7,76.0,0.33
The Sims 2,Simulation,GC,8.3,73.0,0.33
Hulk,Action,XB,7.7,69.0,0.33
Untold Legends: The Warriors Code,Role-Playing,PSP,8.3,65.0,0.33
Klonoa 2: Lunatea's Veil,Platform,PS2,9.1,91.0,0.33
Deus Ex: Invisible War,Shooter,XB,7.6,84.0,0.33
The King of Fighters XIII,Fighting,X360,8.2,79.0,0.33
Tak 2: The Staff of Dreams,Platform,GC,8.6,75.0,0.33
Fracture,Shooter,X360,6.2,63.0,0.33
Ninja Blade,Action,X360,6.8,68.0,0.33
LEGO Batman 2: DC Super Heroes,Action,PSV,6.7,62.0,0.33
Bee Movie Game,Action,Wii,7.6,62.0,0.33
Kelly Slater's Pro Surfer,Sports,PS2,8.4,77.0,0.33
Sniper: Ghost Warrior 2,Shooter,PS3,6.0,52.0,0.33
Legends of Wrestling II,Fighting,PS2,6.7,59.0,0.33
Virtua Tennis 2009,Sports,X360,6.2,70.0,0.33
Street Fighter Alpha 3 MAX,Fighting,PSP,8.0,80.0,0.33
MLB 09: The Show,Sports,PS2,7.5,79.0,0.33
Classic NES Series: Castlevania,Platform,GBA,8.6,74.0,0.33
Fight Night Round 3,Fighting,XB,9.0,83.0,0.33
Way of the Samurai 2,Action,PS2,9.0,59.0,0.33
Planet Puzzle League,Puzzle,DS,8.2,86.0,0.33
Naruto: Rise of a Ninja,Action,X360,8.6,78.0,0.33
Cabela's Dangerous Hunts 2011,Sports,PS3,5.4,60.0,0.33
Disgaea 2: Cursed Memories,Role-Playing,PS2,6.4,84.0,0.33
Clock Tower 3,Adventure,PS2,7.6,69.0,0.33
Etrian Odyssey,Role-Playing,DS,8.5,75.0,0.33
Call Of Duty 2: Big Red One,Shooter,GC,7.9,76.0,0.33
Dragon Ball Z: Extreme Butoden,Fighting,3DS,6.6,61.0,0.33
Disgaea: Hour of Darkness,Role-Playing,PS2,8.9,84.0,0.33
NeoGeo Battle Coliseum,Fighting,PS2,8.8,66.0,0.33
Resonance of Fate,Role-Playing,X360,7.7,74.0,0.33
Harry Potter and the Deathly Hallows - Part 2,Action,Wii,6.6,47.0,0.33
SpongeBob SquarePants: Creature from the Krusty Krab,Platform,GC,7.7,74.0,0.33
MLB 08: The Show,Sports,PSP,8.4,83.0,0.33
Spy Kids 3-D: Game Over,Platform,GBA,7.7,62.0,0.33
Power Rangers: Ninja Storm,Misc,GBA,7.8,55.0,0.33
Medal of Honor: Warfighter,Action,PC,5.4,55.0,0.33
MVP Baseball 2005,Sports,GC,8.7,88.0,0.33
SSX Blur,Sports,Wii,8.1,74.0,0.33
Danganronpa: Trigger Happy Havoc,Misc,PSV,8.1,80.0,0.33
Harry Potter and the Half-Blood Prince,Action,PS3,7.1,66.0,0.33
Teen Titans,Action,GC,6.9,63.0,0.33
MX vs. ATV Untamed,Racing,Wii,8.3,70.0,0.33
Binary Domain,Action,PS3,8.2,72.0,0.33
DECA Sports Freedom,Sports,X360,3.7,26.0,0.33
Major League Baseball 2K6,Sports,XB,5.7,71.0,0.33
Golden Axe: Beast Rider,Action,X360,5.8,45.0,0.33
EA Playground,Sports,DS,7.6,60.0,0.33
The Witcher: Enhanced Edition,Role-Playing,PC,8.5,86.0,0.32
Mystery Case Files: The Malgrave Incident,Adventure,Wii,8.2,65.0,0.32
Iron Man 2,Action,Wii,4.6,41.0,0.32
SWAT: Global Strike Team,Shooter,PS2,7.8,69.0,0.32
Battlestations: Pacific,Strategy,X360,7.4,76.0,0.32
Elebits,Action,Wii,7.4,75.0,0.32
Def Jam Rapstar,Misc,PS3,6.3,75.0,0.32
Hatsune Miku: Project Mirai DX,Misc,3DS,8.5,80.0,0.32
Just Dance 2016,Misc,XOne,6.1,66.0,0.32
Golden Axe: Beast Rider,Action,PS3,5.6,44.0,0.32
Dead Space 2,Shooter,PC,8.3,87.0,0.32
Kinetica,Racing,PS2,8.3,77.0,0.32
The Black Eyed Peas Experience,Misc,X360,5.8,66.0,0.32
NBA Street V3,Sports,XB,8.9,89.0,0.32
Marvel: Ultimate Alliance 2,Role-Playing,Wii,5.2,50.0,0.32
Remember Me,Action,PS3,7.4,72.0,0.32
Silent Hill: Downpour,Action,X360,7.3,68.0,0.32
Dead Rising 2: Off the Record,Action,PS3,7.1,72.0,0.32
Dragon Ball: XenoVerse,Fighting,XOne,7.2,67.0,0.32
Eternal Sonata,Role-Playing,X360,7.9,79.0,0.32
Harvest Moon: Back to Nature,Simulation,PS,9.3,82.0,0.32
Dead or Alive 5,Fighting,X360,7.9,76.0,0.32
Final Fantasy XI,Role-Playing,PS2,6.9,85.0,0.32
Overlord II,Action,X360,7.2,75.0,0.32
Dance Dance Revolution Universe,Simulation,X360,8.8,74.0,0.32
Batman: Arkham Asylum,Action,PC,8.7,91.0,0.32
"Warhammer 40,000: Squad Command",Strategy,PSP,7.6,67.0,0.32
Darkwatch,Shooter,PS2,8.4,74.0,0.32
Tony Hawk's American Wasteland,Sports,X360,7.2,75.0,0.32
Beautiful Katamari,Puzzle,X360,7.0,73.0,0.32
Prince of Persia: The Sands of Time,Action,GC,8.4,92.0,0.32
Harry Potter and the Deathly Hallows - Part 2,Action,PS3,5.7,43.0,0.32
Sky Odyssey,Simulation,PS2,8.4,79.0,0.32
World of Warcraft: Legion,Role-Playing,PC,7.5,88.0,0.32
Hatsune Miku: Project Diva F 2nd,Misc,PSV,8.4,81.0,0.32
Bleach: Shattered Blade,Fighting,Wii,7.5,58.0,0.32
FIFA Street 3,Sports,PS3,6.9,63.0,0.32
FIFA 2001 Major League Soccer,Sports,PS,7.8,85.0,0.32
Operation Flashpoint: Red River,Shooter,PS3,6.3,67.0,0.32
DiRT 2,Racing,PSP,5.7,55.0,0.32
Frogger's Adventures: The Rescue,Platform,PS2,8.5,59.0,0.32
Silent Hill HD Collection,Action,PS3,4.8,70.0,0.32
Singularity,Shooter,X360,7.7,76.0,0.32
Karaoke Revolution Volume 3,Misc,PS2,7.8,82.0,0.32
Army of Two: The 40th Day,Shooter,PSP,6.0,49.0,0.32
Persona 4: Dancing All Night,Misc,PSV,8.6,76.0,0.32
Ultimate Fighting Championship: Throwdown,Fighting,PS2,8.0,68.0,0.32
Disney's Extreme Skate Adventure,Sports,PS2,8.3,78.0,0.32
Prey,Shooter,X360,7.3,79.0,0.32
Shaun White Snowboarding,Sports,PSP,7.5,70.0,0.32
Folklore,Role-Playing,PS3,8.2,75.0,0.32
Murdered: Soul Suspect,Action,PS4,6.9,59.0,0.32
The Darkness II,Shooter,PS3,7.6,79.0,0.32
NBA 2K3,Sports,XB,7.9,87.0,0.32
All-Star Baseball 2005,Sports,PS2,8.6,72.0,0.32
NFL Fever 2004,Sports,XB,8.8,74.0,0.32
FIFA Street 3,Sports,X360,6.9,63.0,0.32
Test Drive Unlimited,Racing,X360,8.0,82.0,0.32
Marvel Nemesis: Rise of the Imperfects,Fighting,PSP,8.7,58.0,0.32
Kingdom Under Fire: The Crusaders,Strategy,XB,7.9,81.0,0.32
Clive Barker's Jericho,Shooter,X360,7.4,63.0,0.32
Romance of the Three Kingdoms VII,Strategy,PS2,8.7,72.0,0.32
Fable III,Role-Playing,PC,5.4,75.0,0.32
"Monsters, Inc.",Adventure,PS2,7.2,52.0,0.32
DJ Hero,Misc,PS2,6.4,87.0,0.32
Lord of Arcana,Role-Playing,PSP,5.5,53.0,0.32
Phineas and Ferb: Across the 2nd Dimension,Action,PS3,6.6,63.0,0.32
Tekken 6,Fighting,PSP,8.2,82.0,0.32
Dynasty Warriors 4 Empires,Action,PS2,8.8,71.0,0.32
Shenmue II,Adventure,XB,9.3,80.0,0.32
Crash of the Titans,Action,X360,6.3,65.0,0.32
Rugby World Cup 2011,Sports,PS3,5.6,50.0,0.32
F1 Race Stars,Racing,PS3,5.6,61.0,0.32
Overlord II,Action,PS3,7.6,72.0,0.32
BlazBlue: Continuum Shift,Fighting,X360,8.7,85.0,0.31
MLB 07: The Show,Sports,PS3,7.5,77.0,0.31
Crash Nitro Kart,Racing,XB,8.9,70.0,0.31
Etrian Odyssey III: The Drowned City,Role-Playing,DS,8.0,77.0,0.31
Batman: Arkham Origins,Action,PC,7.5,74.0,0.31
Harry Potter and the Half-Blood Prince,Action,X360,6.8,64.0,0.31
Fishing Master,Misc,Wii,8.1,58.0,0.31
Madden NFL 2004,Sports,GBA,6.6,70.0,0.31
NBA Inside Drive 2003,Sports,XB,7.8,72.0,0.31
FIFA Street,Sports,PS2,7.9,59.0,0.31
Monster Lab,Role-Playing,Wii,8.4,73.0,0.31
Fate/Extra,Role-Playing,PSP,8.1,58.0,0.31
Drakengard 3,Role-Playing,PS3,7.7,61.0,0.31
Catherine,Adventure,X360,7.9,82.0,0.31
The Matrix: Path of Neo,Action,XB,7.3,73.0,0.31
Bust-A-Move Universe,Puzzle,3DS,4.8,49.0,0.31
Mortal Kombat: Shaolin Monks,Action,XB,6.6,78.0,0.31
Batman: Arkham Origins,Action,WiiU,7.4,68.0,0.31
Shin Megami Tensei: Devil Survivor 2,Role-Playing,DS,8.8,79.0,0.31
Sonic Boom: Rise of Lyric,Action,WiiU,3.6,32.0,0.31
The Settlers 7: Paths to a Kingdom,Strategy,PC,5.2,79.0,0.31
WipEout Pulse,Racing,PSP,8.6,82.0,0.31
The Legend of Spyro: Dawn of the Dragon,Platform,X360,7.2,62.0,0.31
Fuel,Racing,X360,7.0,66.0,0.31
Tropico 5,Simulation,PS4,7.1,76.0,0.31
KISS Pinball,Action,PS,3.8,26.0,0.31
Brothers In Arms: Earned in Blood,Shooter,XB,8.6,85.0,0.31
LEGO Legends of Chima: Laval's Journey,Adventure,3DS,3.6,65.0,0.31
Skylanders: SuperChargers,Action,PS4,3.3,81.0,0.31
Dark Void,Action,X360,6.0,59.0,0.31
Manhunt 2,Action,PSP,8.1,69.0,0.31
Mega Man Maverick Hunter X,Platform,PSP,8.3,79.0,0.31
Star Wars Jedi Knight II: Jedi Outcast,Shooter,XB,6.8,81.0,0.31
Clash of the Titans,Action,PS3,1.7,41.0,0.31
Mega Man Battle Network 2,Action,GBA,9.0,81.0,0.31
Major League Baseball 2K8,Sports,PS3,5.6,67.0,0.31
Pandora's Tower,Role-Playing,Wii,8.0,73.0,0.31
SimAnimals,Simulation,Wii,2.1,58.0,0.31
Tiger Woods PGA Tour 06,Sports,X360,7.4,71.0,0.31
Jonah Lomu Rugby Challenge,Sports,X360,6.0,73.0,0.31
Midway Arcade Treasures 2,Misc,XB,7.4,74.0,0.31
NASCAR Thunder 2003,Racing,GC,6.6,85.0,0.31
Mega Man Zero Collection,Platform,DS,8.9,78.0,0.31
Pro Evolution Soccer 2013,Sports,X360,6.9,82.0,0.31
Star Wars Racer Revenge,Racing,PS2,8.5,73.0,0.31
NCAA Final Four 2002,Sports,PS2,6.5,52.0,0.31
Blade II,Action,PS2,6.1,49.0,0.31
TRON: Evolution,Action,X360,6.0,58.0,0.31
Bruce Lee: Quest of the Dragon,Fighting,XB,2.4,32.0,0.31
Disney's The Emperor's New Groove,Platform,PS,7.2,66.0,0.31
Dragon Ball Z: Battle of Z,Fighting,PS3,5.3,54.0,0.31
Disney's Stitch: Experiment 626,Action,PS2,7.8,59.0,0.31
Orphen: Scion of Sorcery,Role-Playing,PS2,5.8,54.0,0.31
NBA Live 08,Sports,PSP,6.2,73.0,0.31
Star Wars Episode III: Revenge of the Sith,Action,DS,7.8,73.0,0.3
Ultimate Spider-Man,Action,GBA,7.3,62.0,0.3
Midtown Madness 3,Racing,XB,8.3,76.0,0.3
Shrek Swamp Kart Speedway,Racing,GBA,8.9,27.0,0.3
Contra 4,Shooter,DS,8.4,83.0,0.3
Spyro: Attack of the Rhynocs,Platform,GBA,7.5,72.0,0.3
Monsters vs. Aliens,Action,PS3,4.5,66.0,0.3
NASCAR 2011: The Game,Racing,X360,4.1,62.0,0.3
