name,user_score,user_count
WarioWare: Smooth Moves,7.4,179.0
Imagine: Babyz,7.7,15.0
Madden NFL 13,5.8,179.0
The Elder Scrolls III: Morrowind,8.7,111.0
Assassin's Creed IV: Black Flag,7.8,1530.0
Mortal Kombat,8.4,494.0
Madden NFL 10,6.1,90.0
BioShock,8.9,2249.0
Metroid Prime,9.3,747.0
Assassin's Creed: Brotherhood,8.2,791.0
Finding Nemo,7.0,8.0
Medal of Honor,7.5,286.0
Imagine: Fashion Designer,7.6,7.0
inFAMOUS: Second Son,7.9,2944.0
NBA Street,8.6,39.0
Jak II,8.2,241.0
Need for Speed: Hot Pursuit,7.2,301.0
Skylanders: Spyro's Adventure,5.6,31.0
Battlefield 3,7.5,4926.0
Mortal Kombat X,7.7,836.0
The Sims,7.7,46.0
Killzone 3,7.9,942.0
Star Wars: The Force Unleashed,6.7,389.0
Yoshi's Island DS,7.4,67.0
Saints Row: The Third,7.6,490.0
Tekken 6,7.4,211.0
Sonic and the Secret Rings,6.6,174.0
FIFA 16,3.2,58.0
The Legend of Zelda: A Link to the Past,9.1,314.0
Onimusha: Warlords,8.2,56.0
L.A. Noire,7.8,893.0
Call of Duty 3,6.5,233.0
Madden NFL 12,5.9,94.0
LEGO Star Wars II: The Original Trilogy,9.0,41.0
Killzone: Shadow Fall,6.8,2102.0
Madden NFL 11,5.7,120.0
Burnout 3: Takedown,9.1,271.0
Mario vs. Donkey Kong: Mini-Land Mayhem!,7.7,18.0
Professor Layton and the Last Specter,8.7,52.0
Call Of Duty 2: Big Red One,8.2,69.0
Medal of Honor,8.6,80.0
Fable,8.5,268.0
Guitar Hero: World Tour,6.3,171.0
FIFA 17,5.5,201.0
Hannah Montana,6.7,10.0
Tom Clancy's Splinter Cell,7.7,102.0
Need for Speed: Shift,6.9,113.0
Medal of Honor Heroes,7.9,47.0
Final Fantasy XIII-2,6.6,707.0
Midnight Club: Street Racing,7.8,21.0
Skate 3,8.0,127.0
ESPN NFL 2K5,8.2,84.0
Halo Wars,7.2,454.0
NBA 2K12,7.7,134.0
FIFA Soccer 10,7.5,133.0
Medal of Honor,6.7,288.0
Harry Potter and the Chamber of Secrets,7.6,49.0
God of War Collection,8.7,529.0
NBA Live 2005,8.1,44.0
Mario Strikers Charged,8.0,124.0
FIFA Soccer 09,7.5,108.0
Style Savvy,7.7,7.0
WWE SmackDown vs. RAW 2007,8.6,57.0
LEGO Star Wars: The Complete Saga,7.4,114.0
Madden NFL 08,7.8,17.0
Monster Hunter Freedom 2,8.7,83.0
Sonic Adventure 2 Battle,8.3,179.0
Madden NFL 13,5.5,101.0
Dragon Age: Origins,7.9,725.0
Pokémon Colosseum,8.0,89.0
LittleBigPlanet,7.8,98.0
Madden NFL 09,7.0,125.0
Crazy Taxi,7.9,46.0
